 1.500000 0.023743 0.000499 
 1.700000 0.026859 0.000531 
 1.900000 0.030969 0.000558 
 2.100000 0.035994 0.000583 
 2.300000 0.041754 0.000600 
 2.500000 0.048649 0.000608 
 2.700000 0.055766 0.000624 
 2.900000 0.063571 0.000600 
 3.100000 0.071572 0.000627 
 3.300000 0.080331 0.000628 
 3.500000 0.089355 0.000641 
 3.700000 0.098391 0.000642 
 3.900000 0.107666 0.000658 
 4.100000 0.118341 0.000662 
 4.300000 0.128609 0.000695 
 4.500000 0.137830 0.000668 
 4.700000 0.149828 0.000684 
 4.900000 0.160850 0.000712 
 5.100000 0.173485 0.000734 
 5.300000 0.184949 0.000719 
 5.500000 0.198302 0.000763 
 5.700000 0.211137 0.000737 
 5.900000 0.226664 0.000799 
 6.100000 0.238493 0.000773 
 6.300000 0.253352 0.000812 
 6.500000 0.269035 0.000816 
