 1.500000 0.009799 0.000013 
 1.700000 0.011182 0.000011 
 1.900000 0.012423 0.000009 
 2.100000 0.013814 0.000013 
 2.300000 0.015824 0.000048 
 2.500000 0.018684 0.000080 
 2.700000 0.022547 0.000134 
 2.900000 0.027098 0.000165 
 3.100000 0.031989 0.000198 
 3.300000 0.037487 0.000217 
 3.500000 0.043242 0.000242 
 3.700000 0.049923 0.000283 
 3.900000 0.056449 0.000321 
 4.100000 0.064021 0.000341 
 4.300000 0.071397 0.000377 
 4.500000 0.080053 0.000454 
 4.700000 0.089687 0.000487 
 4.900000 0.099224 0.000564 
 5.100000 0.108955 0.000605 
 5.300000 0.120986 0.000692 
 5.500000 0.133051 0.000743 
 5.700000 0.149084 0.000847 
 5.900000 0.161376 0.000910 
 6.100000 0.176976 0.000970 
 6.300000 0.193066 0.001025 
 6.500000 0.209774 0.001067 
