1.5 0.015105 0.000021
2.1 0.021159 0.000037
2.5 0.028652 0.000140
3.0 0.047892 0.000283
3.5 0.064486 0.000378 
4.0 0.094023 0.000534 
4.5 0.118147 0.000666 
5.0 0.160972 0.000857 
5.5 0.190334 0.000974 
6.0 0.245865 0.001152 
 6.500000 0.272832 0.003751  
 7.000000 0.335549 0.003599 
 7.500000 0.385174 0.003909 
 8.000000 0.426620 0.003973 
 8.500000 0.462606 0.003836 
 9.000000 0.517634 0.003954 
 9.500000 0.539116 0.003708 
 10.000000 0.551580 0.003828 
 10.500000 0.55832 0.003751 
