 1.500000 0.019389 0.000521 
 1.700000 0.022037 0.000519 
 1.900000 0.025501 0.000552 
 2.100000 0.029800 0.000579 
 2.300000 0.034991 0.000578 
 2.500000 0.040901 0.000588 
 2.700000 0.047284 0.000579 
 2.900000 0.054513 0.000593 
 3.100000 0.061224 0.000598 
 3.300000 0.068688 0.000612 
 3.500000 0.076281 0.000621 
 3.700000 0.084507 0.000611 
 3.900000 0.092699 0.000614 
 4.100000 0.101720 0.000643 
 4.300000 0.110616 0.000628 
 4.500000 0.119336 0.000654 
 4.700000 0.130167 0.000663 
 4.900000 0.140754 0.000683 
 5.100000 0.151546 0.000683 
 5.300000 0.162493 0.000717 
 5.500000 0.173065 0.000703 
 5.700000 0.184673 0.000717 
 5.900000 0.197523 0.000724 
 6.100000 0.210509 0.000733 
 6.300000 0.225170 0.000769 
 6.500000 0.237855 0.000761 
